method,budget,budget_measured,n_tokens,ppl,seconds,delta_ppl
full,6144,6144.0,3072,4.3579,15.4,0.0
random,128,128.0,3072,12.1987,13.9,7.8408
random,256,255.0,3072,11.9345,13.8,7.5766
random,512,512.0,3072,12.3085,13.4,7.9506
random,1024,1023.0,3072,12.5945,13.3,8.2366
random,2048,2047.0,3072,13.6416,13.5,9.2837
random,4096,4096.0,3072,4.6813,13.6,0.3234
streamingllm,128,128.0,3072,4.8202,12.9,0.4623
streamingllm,256,255.0,3072,4.7116,12.9,0.3537
streamingllm,512,512.0,3072,4.6934,18.1,0.3355
streamingllm,1024,1023.0,3072,4.5843,13.3,0.2264
streamingllm,2048,2047.0,3072,4.4829,13.4,0.125
streamingllm,4096,4096.0,3072,4.4009,13.8,0.043
snapkv,128,128.0,3072,4.7681,12.9,0.4102
snapkv,256,255.0,3072,4.6966,12.8,0.3387
snapkv,512,512.0,3072,4.6378,12.7,0.2799
snapkv,1024,1023.0,3072,4.5315,12.6,0.1736
snapkv,2048,2047.0,3072,4.4471,12.8,0.0892
snapkv,4096,4096.0,3072,4.3756,15.9,0.0177
h2o,128,128.0,3072,4.7096,10.4,0.3517
h2o,256,255.0,3072,4.6424,10.5,0.2845
h2o,512,512.0,3072,4.5113,10.3,0.1534
h2o,1024,1023.0,3072,4.4417,10.6,0.0838
h2o,2048,2047.0,3072,4.3899,10.6,0.032
h2o,4096,4096.0,3072,4.3683,10.8,0.0104
pyramidkv,128,128.0,3072,4.7681,10.0,0.4102
pyramidkv,256,256.0,3072,4.6908,9.9,0.3329
pyramidkv,512,512.0,3072,4.6378,10.0,0.2799
pyramidkv,1024,1024.0,3072,4.5318,10.0,0.1739
pyramidkv,2048,2048.0,3072,4.5395,146.3,0.1816
pyramidkv,4096,4096.0,3072,4.3989,146.8,0.041
